Timecode List:,00:00:13.040,00:00:14.560,00:00:16.040,00:00:17.000,00:00:18.560,00:00:20.160,00:00:21.120,00:00:22.640,00:00:23.920,00:00:25.000,00:00:26.000,00:00:26.760,00:00:27.880,00:00:28.760,00:00:29.960,00:00:30.560,00:00:31.600,00:00:33.040,00:00:34.240,00:00:35.160,00:00:36.680,00:00:38.360,00:00:39.560,00:00:40.240,00:00:41.840,00:00:42.560,00:00:43.240,00:00:44.160,00:00:45.160,00:00:45.880,00:00:48.040,00:00:49.200,00:00:50.200,00:00:51.320,00:00:53.680,00:00:54.600,00:00:55.560,00:00:57.280,00:00:59.160,00:01:00.240,00:01:02.440,00:01:03.240,00:01:04.080,00:01:05.360,00:01:06.360,00:01:08.640,00:01:09.640,00:01:10.560,00:01:12.040,00:01:13.160,00:01:14.560,00:01:15.840,00:01:16.960,00:01:18.080,00:01:19.120,00:01:20.080,00:01:21.360,00:01:23.120,00:01:25.480,00:01:27.000,00:01:28.720,00:01:29.840,00:01:30.800,00:01:31.920,00:01:32.840,00:01:34.360,00:01:35.600,00:01:38.600,00:01:40.680,00:01:42.000,00:01:43.320,00:01:44.080,00:01:46.240,00:01:48.480,00:01:50.000,00:01:51.600,00:01:53.800,00:01:55.600,00:01:57.280,00:01:59.600,00:02:01.080,00:02:07.040,00:02:08.360,00:02:11.040,00:02:13.040,00:02:14.480,00:02:15.680,00:02:16.440,00:02:18.080,00:02:21.000,00:02:23.240,00:02:24.520,00:02:26.800,00:02:29.160,00:02:30.280,00:02:31.520,00:02:32.280,00:02:33.920,00:02:36.360,00:02:38.680,00:02:41.960,00:02:45.000,00:02:50.240,00:02:51.240,00:02:52.880,00:02:55.320,00:02:56.440,00:02:58.320,00:02:59.560,00:03:01.320,00:03:03.360,00:03:05.240,00:03:06.440,00:03:07.840,00:03:09.840
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,326,00:00:13.040,13.040,326,00:00:13.040,13.040
2,327,00:00:13.040,13.040,364,00:00:14.560,14.560,38,00:00:01.520,1.520
3,365,00:00:14.560,14.560,401,00:00:16.040,16.040,37,00:00:01.480,1.480
4,402,00:00:16.040,16.040,425,00:00:17.000,17.000,24,00:00:00.960,0.960
5,426,00:00:17.000,17.000,464,00:00:18.560,18.560,39,00:00:01.560,1.560
6,465,00:00:18.560,18.560,504,00:00:20.160,20.160,40,00:00:01.600,1.600
7,505,00:00:20.160,20.160,528,00:00:21.120,21.120,24,00:00:00.960,0.960
8,529,00:00:21.120,21.120,566,00:00:22.640,22.640,38,00:00:01.520,1.520
9,567,00:00:22.640,22.640,598,00:00:23.920,23.920,32,00:00:01.280,1.280
10,599,00:00:23.920,23.920,625,00:00:25.000,25.000,27,00:00:01.080,1.080
11,626,00:00:25.000,25.000,650,00:00:26.000,26.000,25,00:00:01.000,1.000
12,651,00:00:26.000,26.000,669,00:00:26.760,26.760,19,00:00:00.760,0.760
13,670,00:00:26.760,26.760,697,00:00:27.880,27.880,28,00:00:01.120,1.120
14,698,00:00:27.880,27.880,719,00:00:28.760,28.760,22,00:00:00.880,0.880
15,720,00:00:28.760,28.760,749,00:00:29.960,29.960,30,00:00:01.200,1.200
16,750,00:00:29.960,29.960,764,00:00:30.560,30.560,15,00:00:00.600,0.600
17,765,00:00:30.560,30.560,790,00:00:31.600,31.600,26,00:00:01.040,1.040
18,791,00:00:31.600,31.600,826,00:00:33.040,33.040,36,00:00:01.440,1.440
19,827,00:00:33.040,33.040,856,00:00:34.240,34.240,30,00:00:01.200,1.200
20,857,00:00:34.240,34.240,879,00:00:35.160,35.160,23,00:00:00.920,0.920
21,880,00:00:35.160,35.160,917,00:00:36.680,36.680,38,00:00:01.520,1.520
22,918,00:00:36.680,36.680,959,00:00:38.360,38.360,42,00:00:01.680,1.680
23,960,00:00:38.360,38.360,989,00:00:39.560,39.560,30,00:00:01.200,1.200
24,990,00:00:39.560,39.560,1006,00:00:40.240,40.240,17,00:00:00.680,0.680
25,1007,00:00:40.240,40.240,1046,00:00:41.840,41.840,40,00:00:01.600,1.600
26,1047,00:00:41.840,41.840,1064,00:00:42.560,42.560,18,00:00:00.720,0.720
27,1065,00:00:42.560,42.560,1081,00:00:43.240,43.240,17,00:00:00.680,0.680
28,1082,00:00:43.240,43.240,1104,00:00:44.160,44.160,23,00:00:00.920,0.920
29,1105,00:00:44.160,44.160,1129,00:00:45.160,45.160,25,00:00:01.000,1.000
30,1130,00:00:45.160,45.160,1147,00:00:45.880,45.880,18,00:00:00.720,0.720
31,1148,00:00:45.880,45.880,1201,00:00:48.040,48.040,54,00:00:02.160,2.160
32,1202,00:00:48.040,48.040,1230,00:00:49.200,49.200,29,00:00:01.160,1.160
33,1231,00:00:49.200,49.200,1255,00:00:50.200,50.200,25,00:00:01.000,1.000
34,1256,00:00:50.200,50.200,1283,00:00:51.320,51.320,28,00:00:01.120,1.120
35,1284,00:00:51.320,51.320,1342,00:00:53.680,53.680,59,00:00:02.360,2.360
36,1343,00:00:53.680,53.680,1365,00:00:54.600,54.600,23,00:00:00.920,0.920
37,1366,00:00:54.600,54.600,1389,00:00:55.560,55.560,24,00:00:00.960,0.960
38,1390,00:00:55.560,55.560,1432,00:00:57.280,57.280,43,00:00:01.720,1.720
39,1433,00:00:57.280,57.280,1479,00:00:59.160,59.160,47,00:00:01.880,1.880
40,1480,00:00:59.160,59.160,1506,00:01:00.240,60.240,27,00:00:01.080,1.080
41,1507,00:01:00.240,60.240,1561,00:01:02.440,62.440,55,00:00:02.200,2.200
42,1562,00:01:02.440,62.440,1581,00:01:03.240,63.240,20,00:00:00.800,0.800
43,1582,00:01:03.240,63.240,1602,00:01:04.080,64.080,21,00:00:00.840,0.840
44,1603,00:01:04.080,64.080,1634,00:01:05.360,65.360,32,00:00:01.280,1.280
45,1635,00:01:05.360,65.360,1659,00:01:06.360,66.360,25,00:00:01.000,1.000
46,1660,00:01:06.360,66.360,1716,00:01:08.640,68.640,57,00:00:02.280,2.280
47,1717,00:01:08.640,68.640,1741,00:01:09.640,69.640,25,00:00:01.000,1.000
48,1742,00:01:09.640,69.640,1764,00:01:10.560,70.560,23,00:00:00.920,0.920
49,1765,00:01:10.560,70.560,1801,00:01:12.040,72.040,37,00:00:01.480,1.480
50,1802,00:01:12.040,72.040,1829,00:01:13.160,73.160,28,00:00:01.120,1.120
51,1830,00:01:13.160,73.160,1864,00:01:14.560,74.560,35,00:00:01.400,1.400
52,1865,00:01:14.560,74.560,1896,00:01:15.840,75.840,32,00:00:01.280,1.280
53,1897,00:01:15.840,75.840,1924,00:01:16.960,76.960,28,00:00:01.120,1.120
54,1925,00:01:16.960,76.960,1952,00:01:18.080,78.080,28,00:00:01.120,1.120
55,1953,00:01:18.080,78.080,1978,00:01:19.120,79.120,26,00:00:01.040,1.040
56,1979,00:01:19.120,79.120,2002,00:01:20.080,80.080,24,00:00:00.960,0.960
57,2003,00:01:20.080,80.080,2034,00:01:21.360,81.360,32,00:00:01.280,1.280
58,2035,00:01:21.360,81.360,2078,00:01:23.120,83.120,44,00:00:01.760,1.760
59,2079,00:01:23.120,83.120,2137,00:01:25.480,85.480,59,00:00:02.360,2.360
60,2138,00:01:25.480,85.480,2175,00:01:27.000,87.000,38,00:00:01.520,1.520
61,2176,00:01:27.000,87.000,2218,00:01:28.720,88.720,43,00:00:01.720,1.720
62,2219,00:01:28.720,88.720,2246,00:01:29.840,89.840,28,00:00:01.120,1.120
63,2247,00:01:29.840,89.840,2270,00:01:30.800,90.800,24,00:00:00.960,0.960
64,2271,00:01:30.800,90.800,2298,00:01:31.920,91.920,28,00:00:01.120,1.120
65,2299,00:01:31.920,91.920,2321,00:01:32.840,92.840,23,00:00:00.920,0.920
66,2322,00:01:32.840,92.840,2359,00:01:34.360,94.360,38,00:00:01.520,1.520
67,2360,00:01:34.360,94.360,2390,00:01:35.600,95.600,31,00:00:01.240,1.240
68,2391,00:01:35.600,95.600,2465,00:01:38.600,98.600,75,00:00:03.000,3.000
69,2466,00:01:38.600,98.600,2517,00:01:40.680,100.680,52,00:00:02.080,2.080
70,2518,00:01:40.680,100.680,2550,00:01:42.000,102.000,33,00:00:01.320,1.320
71,2551,00:01:42.000,102.000,2583,00:01:43.320,103.320,33,00:00:01.320,1.320
72,2584,00:01:43.320,103.320,2602,00:01:44.080,104.080,19,00:00:00.760,0.760
73,2603,00:01:44.080,104.080,2656,00:01:46.240,106.240,54,00:00:02.160,2.160
74,2657,00:01:46.240,106.240,2712,00:01:48.480,108.480,56,00:00:02.240,2.240
75,2713,00:01:48.480,108.480,2750,00:01:50.000,110.000,38,00:00:01.520,1.520
76,2751,00:01:50.000,110.000,2790,00:01:51.600,111.600,40,00:00:01.600,1.600
77,2791,00:01:51.600,111.600,2845,00:01:53.800,113.800,55,00:00:02.200,2.200
78,2846,00:01:53.800,113.800,2890,00:01:55.600,115.600,45,00:00:01.800,1.800
